,Variable,Year,Region,Subregion,Value
62489,Livestock transfers - outward ($),2004,QL,QLD Western Downs and Central Highlands,52190.0
62490,Lupins area sown (ha),2004,QL,QLD Western Downs and Central Highlands,0.0
62491,Lupins produced (t),2004,QL,QLD Western Downs and Central Highlands,0.0
62492,Lupins receipts ($),2004,QL,QLD Western Downs and Central Highlands,0.0
62493,Net capital additions ($),2004,QL,QLD Western Downs and Central Highlands,101960.0
62494,Oats area sown (ha),2004,QL,QLD Western Downs and Central Highlands,18.0
62495,Oats produced (t),2004,QL,QLD Western Downs and Central Highlands,0.0
62496,Oats receipts ($),2004,QL,QLD Western Downs and Central Highlands,20.0
62497,Off farm contracts ($),2004,QL,QLD Western Downs and Central Highlands,4480.0
62498,Off farm sharefarming ($),2004,QL,QLD Western Downs and Central Highlands,4140.0
62499,Off-farm work for owner manager (hrsperwk),2004,QL,QLD Western Downs and Central Highlands,6.0
62500,Off-farm work for spouse (hrsperwk),2004,QL,QLD Western Downs and Central Highlands,13.0
62501,Oilseeds area sown (ha),2004,QL,QLD Western Downs and Central Highlands,19.0
62502,Oilseeds produced (t),2004,QL,QLD Western Downs and Central Highlands,5.0
62503,Oilseeds receipts ($),2004,QL,QLD Western Downs and Central Highlands,3610.0
62504,Other administration expenses ($),2004,QL,QLD Western Downs and Central Highlands,10760.0
62505,Other farm income ($),2004,QL,QLD Western Downs and Central Highlands,31180.0
62506,Other livestock purchased ($),2004,QL,QLD Western Downs and Central Highlands,440.0
62507,Other livestock receipts ($),2004,QL,QLD Western Downs and Central Highlands,7790.0
62508,Other materials ($),2004,QL,QLD Western Downs and Central Highlands,2780.0
62509,Other services ($),2004,QL,QLD Western Downs and Central Highlands,14400.0
62510,Payments to sharefarmers ($),2004,QL,QLD Western Downs and Central Highlands,680.0
62511,Population,2004,QL,QLD Western Downs and Central Highlands,3803.0
62512,Produce purchased for resale ($),2004,QL,QLD Western Downs and Central Highlands,0.0
62513,Profit at full equity ($),2004,QL,QLD Western Downs and Central Highlands,8930.0
62514,Profit at full equity including capital appreciation ($),2004,QL,QLD Western Downs and Central Highlands,398560.0
62515,Rams at 30 June (no.),2004,QL,QLD Western Downs and Central Highlands,
62516,Rate of return ex. capital appreciation (%),2004,QL,QLD Western Downs and Central Highlands,0.2
62517,Rate of return inc. capital appreciation (%),2004,QL,QLD Western Downs and Central Highlands,6.8
62518,Repairs and maintenance ($),2004,QL,QLD Western Downs and Central Highlands,47610.0
62519,Rice area sown (ha),2004,QL,QLD Western Downs and Central Highlands,0.0
62520,Sample Contributing,2004,QL,QLD Western Downs and Central Highlands,80.0
62521,Seed ($),2004,QL,QLD Western Downs and Central Highlands,7090.0
62522,Shearing crutching ($),2004,QL,QLD Western Downs and Central Highlands,3440.0
62523,Sheep and lambs shorn (no.),2004,QL,QLD Western Downs and Central Highlands,524.0
62524,Sheep flock at 30 June (no.),2004,QL,QLD Western Downs and Central Highlands,524.0
62525,Sheep purchased ($),2004,QL,QLD Western Downs and Central Highlands,3040.0
62526,Sheep purchased (no.),2004,QL,QLD Western Downs and Central Highlands,35.0
62527,Sheep receipts ($),2004,QL,QLD Western Downs and Central Highlands,4140.0
62528,Sheep sold (no.),2004,QL,QLD Western Downs and Central Highlands,44.0
62529,Shire and PPB rates ($),2004,QL,QLD Western Downs and Central Highlands,9640.0
62530,Sorghum area sown (ha),2004,QL,QLD Western Downs and Central Highlands,74.0
62531,Sorghum produced (t),2004,QL,QLD Western Downs and Central Highlands,112.0
62532,Sorghum receipts ($),2004,QL,QLD Western Downs and Central Highlands,13140.0
62533,Steers and other beef cattle at 30 June (no.),2004,QL,QLD Western Downs and Central Highlands,
62534,Stores and rations ($),2004,QL,QLD Western Downs and Central Highlands,1170.0
62535,Telephone ($),2004,QL,QLD Western Downs and Central Highlands,3950.0
62536,Total area cropped (ha),2004,QL,QLD Western Downs and Central Highlands,323.0
62537,Total area irrigated (ha),2004,QL,QLD Western Downs and Central Highlands,
62538,Total cash costs ($),2004,QL,QLD Western Downs and Central Highlands,612030.0
62539,Total cash receipts ($),2004,QL,QLD Western Downs and Central Highlands,667930.0
62540,Total closing capital ($),2004,QL,QLD Western Downs and Central Highlands,5835010.0
62541,Total crop gross receipts ($),2004,QL,QLD Western Downs and Central Highlands,93240.0
62542,Total family income ($),2004,QL,QLD Western Downs and Central Highlands,69600.0
62543,Total freight ($),2004,QL,QLD Western Downs and Central Highlands,24230.0
62544,Total labor used (weeks),2004,QL,QLD Western Downs and Central Highlands,116.0
62545,Total non farm income ($),2004,QL,QLD Western Downs and Central Highlands,34890.0
62546,Total off farm wages ($),2004,QL,QLD Western Downs and Central Highlands,18420.0
62547,Total wool sold (kg),2004,QL,QLD Western Downs and Central Highlands,2383.0
62548,Value of land and fixed improvements ($),2004,QL,QLD Western Downs and Central Highlands,4488250.0
62549,Vet fees ($),2004,QL,QLD Western Downs and Central Highlands,
62550,Wages for hired labor ($),2004,QL,QLD Western Downs and Central Highlands,28790.0
62551,Water charges ($),2004,QL,QLD Western Downs and Central Highlands,2510.0
62552,Wethers at 30 June (no.),2004,QL,QLD Western Downs and Central Highlands,
62553,Wheat area sown (ha),2004,QL,QLD Western Downs and Central Highlands,162.0
62554,Wheat produced (t),2004,QL,QLD Western Downs and Central Highlands,218.0
62555,Wheat receipts ($),2004,QL,QLD Western Downs and Central Highlands,63640.0
62556,Wheat sold (t),2004,QL,QLD Western Downs and Central Highlands,199.0
62557,Wool cut per head (kg),2004,QL,QLD Western Downs and Central Highlands,5.2
62558,Wool produced (kg),2004,QL,QLD Western Downs and Central Highlands,2725.0
62559,Wool receipts ($),2004,QL,QLD Western Downs and Central Highlands,19250.0
65824,AI stud fees and herd testing ($),2005,QL,QLD Cape York and the Gulf,0.0
65825,Accounting services ($),2005,QL,QLD Cape York and the Gulf,11140.0
65826,Advisory services ($),2005,QL,QLD Cape York and the Gulf,2890.0
65827,Age of owner manager (yrs),2005,QL,QLD Cape York and the Gulf,62.0
65828,Age of spouse (yrs),2005,QL,QLD Cape York and the Gulf,60.0
65829,Agistment ($),2005,QL,QLD Cape York and the Gulf,400.0
65830,Area operated at 30 June (ha),2005,QL,QLD Cape York and the Gulf,153580.0
65831,Barley area sown (ha),2005,QL,QLD Cape York and the Gulf,0.0
65832,Barley produced (t),2005,QL,QLD Cape York and the Gulf,0.0
65833,Barley receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65834,Beef bulls at 30 June (no.),2005,QL,QLD Cape York and the Gulf,96.0
65835,Beef calves at 30 June (no.),2005,QL,QLD Cape York and the Gulf,791.0
65836,Beef cattle purchased ($),2005,QL,QLD Cape York and the Gulf,57290.0
65837,Beef cattle purchased (no.),2005,QL,QLD Cape York and the Gulf,28.0
65838,Beef cattle receipts ($),2005,QL,QLD Cape York and the Gulf,1057050.0
65839,Beef cattle sold (no.),2005,QL,QLD Cape York and the Gulf,1096.0
65840,Beef cattle transferred off farm (no.),2005,QL,QLD Cape York and the Gulf,457.0
65841,Beef cattle transferred onto farm (no.),2005,QL,QLD Cape York and the Gulf,33.0
65842,Beef cows at 30 June (no.),2005,QL,QLD Cape York and the Gulf,2978.0
65843,Beef heifers at 30 June (no.),2005,QL,QLD Cape York and the Gulf,407.0
65844,Beef herd at 30 June (no.),2005,QL,QLD Cape York and the Gulf,5287.0
65845,Branding rate (%),2005,QL,QLD Cape York and the Gulf,71.7
65846,Buildup in trading stocks ($),2005,QL,QLD Cape York and the Gulf,9550.0
65847,Canola area sown (ha),2005,QL,QLD Cape York and the Gulf,0.0
65848,Canola produced (t),2005,QL,QLD Cape York and the Gulf,0.0
65849,Canola receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65850,Capital appreciation ($),2005,QL,QLD Cape York and the Gulf,1342440.0
65851,Capital at 1 July ($),2005,QL,QLD Cape York and the Gulf,15183430.0
65852,Change in farm debt ($),2005,QL,QLD Cape York and the Gulf,-61740.0
65853,Contracts - cropping ($),2005,QL,QLD Cape York and the Gulf,0.0
65854,Contracts - livestock ($),2005,QL,QLD Cape York and the Gulf,48480.0
65855,Cotton receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65856,Crop and pasture chemicals ($),2005,QL,QLD Cape York and the Gulf,0.0
65857,Dairy cattle at June 30 (no.),2005,QL,QLD Cape York and the Gulf,0.0
65858,Depreciation ($),2005,QL,QLD Cape York and the Gulf,114550.0
65859,Electricity ($),2005,QL,QLD Cape York and the Gulf,4610.0
65860,Equity ratio at 30 June (%),2005,QL,QLD Cape York and the Gulf,98.0
65861,Ewes at 30 June (no.),2005,QL,QLD Cape York and the Gulf,706.0
65862,Family share of farm income ($),2005,QL,QLD Cape York and the Gulf,193250.0
65863,Farm business debt at 30 June ($),2005,QL,QLD Cape York and the Gulf,292900.0
65864,Farm business equity June 30 ($),2005,QL,QLD Cape York and the Gulf,13577330.0
65865,Farm business profit ($),2005,QL,QLD Cape York and the Gulf,264310.0
65866,Farm cash income ($),2005,QL,QLD Cape York and the Gulf,438570.0
65867,Farm liquid assets at 30 June ($),2005,QL,QLD Cape York and the Gulf,148450.0
65868,Fertiliser ($),2005,QL,QLD Cape York and the Gulf,110.0
65869,Field peas area sown (ha),2005,QL,QLD Cape York and the Gulf,0.0
65870,Field peas produced (t),2005,QL,QLD Cape York and the Gulf,0.0
65871,Field peas receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65872,Fodder ($),2005,QL,QLD Cape York and the Gulf,121350.0
65873,Fuel oil and grease ($),2005,QL,QLD Cape York and the Gulf,60190.0
65874,Grain legumes area sown (ha),2005,QL,QLD Cape York and the Gulf,0.0
65875,Grain legumes produced (t),2005,QL,QLD Cape York and the Gulf,0.0
65876,Grain legumes receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65877,Handling and marketing ($),2005,QL,QLD Cape York and the Gulf,11150.0
65878,Hours worked on farm - total (hrsperwk),2005,QL,QLD Cape York and the Gulf,120.0
65879,Hours worked on farm by owner manager (hrsperwk),2005,QL,QLD Cape York and the Gulf,34.0
65880,Hours worked on farm by spouse (hrsperwk),2005,QL,QLD Cape York and the Gulf,33.0
65881,Imputed labor cost ($),2005,QL,QLD Cape York and the Gulf,69260.0
65882,Insurance ($),2005,QL,QLD Cape York and the Gulf,7430.0
65883,Interest paid ($),2005,QL,QLD Cape York and the Gulf,65920.0
65884,Lambs at 30 June (no.),2005,QL,QLD Cape York and the Gulf,375.0
65885,Land rent ($),2005,QL,QLD Cape York and the Gulf,14870.0
65886,Leasing charges ($),2005,QL,QLD Cape York and the Gulf,14680.0
65887,Livestock materials ($),2005,QL,QLD Cape York and the Gulf,37120.0
65888,Livestock transfers - inwards ($),2005,QL,QLD Cape York and the Gulf,38330.0
65889,Livestock transfers - outward ($),2005,QL,QLD Cape York and the Gulf,241800.0
65890,Lupins area sown (ha),2005,QL,QLD Cape York and the Gulf,0.0
65891,Lupins produced (t),2005,QL,QLD Cape York and the Gulf,0.0
65892,Lupins receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65893,Net capital additions ($),2005,QL,QLD Cape York and the Gulf,23310.0
65894,Oats area sown (ha),2005,QL,QLD Cape York and the Gulf,0.0
65895,Oats produced (t),2005,QL,QLD Cape York and the Gulf,0.0
65896,Oats receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65897,Off farm contracts ($),2005,QL,QLD Cape York and the Gulf,0.0
65898,Off farm sharefarming ($),2005,QL,QLD Cape York and the Gulf,0.0
65899,Off-farm work for owner manager (hrsperwk),2005,QL,QLD Cape York and the Gulf,0.0
65900,Off-farm work for spouse (hrsperwk),2005,QL,QLD Cape York and the Gulf,0.0
65901,Oilseeds area sown (ha),2005,QL,QLD Cape York and the Gulf,0.0
65902,Oilseeds produced (t),2005,QL,QLD Cape York and the Gulf,0.0
65903,Oilseeds receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65904,Other administration expenses ($),2005,QL,QLD Cape York and the Gulf,7630.0
65905,Other farm income ($),2005,QL,QLD Cape York and the Gulf,41230.0
65906,Other livestock purchased ($),2005,QL,QLD Cape York and the Gulf,0.0
65907,Other livestock receipts ($),2005,QL,QLD Cape York and the Gulf,330.0
65908,Other materials ($),2005,QL,QLD Cape York and the Gulf,124680.0
65909,Other services ($),2005,QL,QLD Cape York and the Gulf,12300.0
65910,Payments to sharefarmers ($),2005,QL,QLD Cape York and the Gulf,0.0
65911,Population,2005,QL,QLD Cape York and the Gulf,96.0
65912,Produce purchased for resale ($),2005,QL,QLD Cape York and the Gulf,0.0
65913,Profit at full equity ($),2005,QL,QLD Cape York and the Gulf,348930.0
65914,Profit at full equity including capital appreciation ($),2005,QL,QLD Cape York and the Gulf,1691370.0
65915,Rams at 30 June (no.),2005,QL,QLD Cape York and the Gulf,12.0
65916,Rate of return ex. capital appreciation (%),2005,QL,QLD Cape York and the Gulf,2.1
65917,Rate of return inc. capital appreciation (%),2005,QL,QLD Cape York and the Gulf,10.2
65918,Repairs and maintenance ($),2005,QL,QLD Cape York and the Gulf,84260.0
65919,Rice area sown (ha),2005,QL,QLD Cape York and the Gulf,0.0
65920,Sample Contributing,2005,QL,QLD Cape York and the Gulf,15.0
65921,Seed ($),2005,QL,QLD Cape York and the Gulf,0.0
65922,Shearing crutching ($),2005,QL,QLD Cape York and the Gulf,7420.0
65923,Sheep and lambs shorn (no.),2005,QL,QLD Cape York and the Gulf,1818.0
65924,Sheep flock at 30 June (no.),2005,QL,QLD Cape York and the Gulf,1393.0
65925,Sheep purchased ($),2005,QL,QLD Cape York and the Gulf,770.0
65926,Sheep purchased (no.),2005,QL,QLD Cape York and the Gulf,1.0
65927,Sheep receipts ($),2005,QL,QLD Cape York and the Gulf,38450.0
65928,Sheep sold (no.),2005,QL,QLD Cape York and the Gulf,399.0
65929,Shire and PPB rates ($),2005,QL,QLD Cape York and the Gulf,22050.0
65930,Sorghum area sown (ha),2005,QL,QLD Cape York and the Gulf,0.0
65931,Sorghum produced (t),2005,QL,QLD Cape York and the Gulf,0.0
65932,Sorghum receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65933,Steers and other beef cattle at 30 June (no.),2005,QL,QLD Cape York and the Gulf,1015.0
65934,Stores and rations ($),2005,QL,QLD Cape York and the Gulf,7880.0
65935,Telephone ($),2005,QL,QLD Cape York and the Gulf,4220.0
65936,Total area cropped (ha),2005,QL,QLD Cape York and the Gulf,28.0
65937,Total area irrigated (ha),2005,QL,QLD Cape York and the Gulf,
65938,Total cash costs ($),2005,QL,QLD Cape York and the Gulf,969020.0
65939,Total cash receipts ($),2005,QL,QLD Cape York and the Gulf,1407580.0
65940,Total closing capital ($),2005,QL,QLD Cape York and the Gulf,16529810.0
65941,Total crop gross receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65942,Total family income ($),2005,QL,QLD Cape York and the Gulf,212340.0
65943,Total freight ($),2005,QL,QLD Cape York and the Gulf,71890.0
65944,Total labor used (weeks),2005,QL,QLD Cape York and the Gulf,208.0
65945,Total non farm income ($),2005,QL,QLD Cape York and the Gulf,18720.0
65946,Total off farm wages ($),2005,QL,QLD Cape York and the Gulf,0.0
65947,Total wool sold (kg),2005,QL,QLD Cape York and the Gulf,
65948,Value of land and fixed improvements ($),2005,QL,QLD Cape York and the Gulf,10566590.0
65949,Vet fees ($),2005,QL,QLD Cape York and the Gulf,960.0
65950,Wages for hired labor ($),2005,QL,QLD Cape York and the Gulf,129030.0
65951,Water charges ($),2005,QL,QLD Cape York and the Gulf,0.0
65952,Wethers at 30 June (no.),2005,QL,QLD Cape York and the Gulf,299.0
65953,Wheat area sown (ha),2005,QL,QLD Cape York and the Gulf,0.0
65954,Wheat produced (t),2005,QL,QLD Cape York and the Gulf,0.0
65955,Wheat receipts ($),2005,QL,QLD Cape York and the Gulf,0.0
65956,Wheat sold (t),2005,QL,QLD Cape York and the Gulf,0.0
65957,Wool cut per head (kg),2005,QL,QLD Cape York and the Gulf,
65958,Wool produced (kg),2005,QL,QLD Cape York and the Gulf,6254.0
65959,Wool receipts ($),2005,QL,QLD Cape York and the Gulf,28730.0
65960,AI stud fees and herd testing ($),2005,QL,QLD Central North,20.0
65961,Accounting services ($),2005,QL,QLD Central North,5430.0
65962,Advisory services ($),2005,QL,QLD Central North,890.0
65963,Age of owner manager (yrs),2005,QL,QLD Central North,51.0
65964,Age of spouse (yrs),2005,QL,QLD Central North,50.0
65965,Agistment ($),2005,QL,QLD Central North,25840.0
65966,Area operated at 30 June (ha),2005,QL,QLD Central North,41192.0
65967,Barley area sown (ha),2005,QL,QLD Central North,0.0
65968,Barley produced (t),2005,QL,QLD Central North,0.0
65969,Barley receipts ($),2005,QL,QLD Central North,0.0
65970,Beef bulls at 30 June (no.),2005,QL,QLD Central North,57.0
65971,Beef calves at 30 June (no.),2005,QL,QLD Central North,559.0
65972,Beef cattle purchased ($),2005,QL,QLD Central North,87670.0
65973,Beef cattle purchased (no.),2005,QL,QLD Central North,87.0
65974,Beef cattle receipts ($),2005,QL,QLD Central North,1071320.0
65975,Beef cattle sold (no.),2005,QL,QLD Central North,1046.0
65976,Beef cattle transferred off farm (no.),2005,QL,QLD Central North,69.0
65977,Beef cattle transferred onto farm (no.),2005,QL,QLD Central North,7.0
65978,Beef cows at 30 June (no.),2005,QL,QLD Central North,1364.0
65979,Beef heifers at 30 June (no.),2005,QL,QLD Central North,435.0
65980,Beef herd at 30 June (no.),2005,QL,QLD Central North,3179.0
65981,Branding rate (%),2005,QL,QLD Central North,67.1
65982,Buildup in trading stocks ($),2005,QL,QLD Central North,-186050.0
65983,Canola area sown (ha),2005,QL,QLD Central North,0.0
65984,Canola produced (t),2005,QL,QLD Central North,0.0
65985,Canola receipts ($),2005,QL,QLD Central North,0.0
65986,Capital appreciation ($),2005,QL,QLD Central North,447400.0
65987,Capital at 1 July ($),2005,QL,QLD Central North,10364650.0
65988,Change in farm debt ($),2005,QL,QLD Central North,-20520.0
65989,Contracts - cropping ($),2005,QL,QLD Central North,240.0
65990,Contracts - livestock ($),2005,QL,QLD Central North,10210.0
65991,Cotton receipts ($),2005,QL,QLD Central North,0.0
65992,Crop and pasture chemicals ($),2005,QL,QLD Central North,1800.0
65993,Dairy cattle at June 30 (no.),2005,QL,QLD Central North,0.0
65994,Depreciation ($),2005,QL,QLD Central North,64220.0
65995,Electricity ($),2005,QL,QLD Central North,5260.0
65996,Equity ratio at 30 June (%),2005,QL,QLD Central North,92.0
65997,Ewes at 30 June (no.),2005,QL,QLD Central North,355.0
65998,Family share of farm income ($),2005,QL,QLD Central North,112780.0
65999,Farm business debt at 30 June ($),2005,QL,QLD Central North,809400.0
66000,Farm business equity June 30 ($),2005,QL,QLD Central North,9486630.0
66001,Farm business profit ($),2005,QL,QLD Central North,187920.0
66002,Farm cash income ($),2005,QL,QLD Central North,518420.0
66003,Farm liquid assets at 30 June ($),2005,QL,QLD Central North,494610.0
66004,Fertiliser ($),2005,QL,QLD Central North,590.0
66005,Field peas area sown (ha),2005,QL,QLD Central North,0.0
66006,Field peas produced (t),2005,QL,QLD Central North,0.0
66007,Field peas receipts ($),2005,QL,QLD Central North,0.0
66008,Fodder ($),2005,QL,QLD Central North,87520.0
66009,Fuel oil and grease ($),2005,QL,QLD Central North,43560.0
66010,Grain legumes area sown (ha),2005,QL,QLD Central North,0.0
66011,Grain legumes produced (t),2005,QL,QLD Central North,0.0
66012,Grain legumes receipts ($),2005,QL,QLD Central North,0.0
66013,Handling and marketing ($),2005,QL,QLD Central North,8480.0
66014,Hours worked on farm - total (hrsperwk),2005,QL,QLD Central North,147.0
66015,Hours worked on farm by owner manager (hrsperwk),2005,QL,QLD Central North,56.0
66016,Hours worked on farm by spouse (hrsperwk),2005,QL,QLD Central North,30.0
66017,Imputed labor cost ($),2005,QL,QLD Central North,80230.0
66018,Insurance ($),2005,QL,QLD Central North,7900.0
66019,Interest paid ($),2005,QL,QLD Central North,60400.0
66020,Lambs at 30 June (no.),2005,QL,QLD Central North,35.0
66021,Land rent ($),2005,QL,QLD Central North,6370.0
66022,Leasing charges ($),2005,QL,QLD Central North,6460.0
66023,Livestock materials ($),2005,QL,QLD Central North,29480.0
66024,Livestock transfers - inwards ($),2005,QL,QLD Central North,4560.0
66025,Livestock transfers - outward ($),2005,QL,QLD Central North,37540.0
66026,Lupins area sown (ha),2005,QL,QLD Central North,0.0
66027,Lupins produced (t),2005,QL,QLD Central North,0.0
66028,Lupins receipts ($),2005,QL,QLD Central North,0.0
66029,Net capital additions ($),2005,QL,QLD Central North,88030.0
66030,Oats area sown (ha),2005,QL,QLD Central North,0.0
66031,Oats produced (t),2005,QL,QLD Central North,0.0
66032,Oats receipts ($),2005,QL,QLD Central North,0.0
66033,Off farm contracts ($),2005,QL,QLD Central North,400.0
66034,Off farm sharefarming ($),2005,QL,QLD Central North,0.0
66035,Off-farm work for owner manager (hrsperwk),2005,QL,QLD Central North,2.0
66036,Off-farm work for spouse (hrsperwk),2005,QL,QLD Central North,0.0
66037,Oilseeds area sown (ha),2005,QL,QLD Central North,0.0
66038,Oilseeds produced (t),2005,QL,QLD Central North,0.0
66039,Oilseeds receipts ($),2005,QL,QLD Central North,0.0
66040,Other administration expenses ($),2005,QL,QLD Central North,7240.0
66041,Other farm income ($),2005,QL,QLD Central North,31730.0
66042,Other livestock purchased ($),2005,QL,QLD Central North,1800.0
66043,Other livestock receipts ($),2005,QL,QLD Central North,1410.0
66044,Other materials ($),2005,QL,QLD Central North,14780.0
66045,Other services ($),2005,QL,QLD Central North,19680.0
66046,Payments to sharefarmers ($),2005,QL,QLD Central North,0.0
66047,Population,2005,QL,QLD Central North,638.0
66048,Produce purchased for resale ($),2005,QL,QLD Central North,0.0
66049,Profit at full equity ($),2005,QL,QLD Central North,257860.0
66050,Profit at full equity including capital appreciation ($),2005,QL,QLD Central North,705260.0
66051,Rams at 30 June (no.),2005,QL,QLD Central North,7.0
66052,Rate of return ex. capital appreciation (%),2005,QL,QLD Central North,2.4
66053,Rate of return inc. capital appreciation (%),2005,QL,QLD Central North,6.6
66054,Repairs and maintenance ($),2005,QL,QLD Central North,86970.0
66055,Rice area sown (ha),2005,QL,QLD Central North,0.0
66056,Sample Contributing,2005,QL,QLD Central North,36.0
66057,Seed ($),2005,QL,QLD Central North,2160.0
66058,Shearing crutching ($),2005,QL,QLD Central North,4490.0
66059,Sheep and lambs shorn (no.),2005,QL,QLD Central North,594.0
66060,Sheep flock at 30 June (no.),2005,QL,QLD Central North,601.0
66061,Sheep purchased ($),2005,QL,QLD Central North,5390.0
66062,Sheep purchased (no.),2005,QL,QLD Central North,103.0
66063,Sheep receipts ($),2005,QL,QLD Central North,7810.0
66064,Sheep sold (no.),2005,QL,QLD Central North,147.0
66065,Shire and PPB rates ($),2005,QL,QLD Central North,16690.0
66066,Sorghum area sown (ha),2005,QL,QLD Central North,0.0
66067,Sorghum produced (t),2005,QL,QLD Central North,0.0
66068,Sorghum receipts ($),2005,QL,QLD Central North,0.0
66069,Steers and other beef cattle at 30 June (no.),2005,QL,QLD Central North,765.0
66070,Stores and rations ($),2005,QL,QLD Central North,6290.0
66071,Telephone ($),2005,QL,QLD Central North,5070.0
66072,Total area cropped (ha),2005,QL,QLD Central North,18.0
66073,Total area irrigated (ha),2005,QL,QLD Central North,
66074,Total cash costs ($),2005,QL,QLD Central North,652110.0
66075,Total cash receipts ($),2005,QL,QLD Central North,1170530.0
66076,Total closing capital ($),2005,QL,QLD Central North,10680540.0
66077,Total crop gross receipts ($),2005,QL,QLD Central North,550.0
66078,Total family income ($),2005,QL,QLD Central North,156650.0
66079,Total freight ($),2005,QL,QLD Central North,36860.0
66080,Total labor used (weeks),2005,QL,QLD Central North,161.0
66081,Total non farm income ($),2005,QL,QLD Central North,30290.0
66082,Total off farm wages ($),2005,QL,QLD Central North,5120.0
66083,Total wool sold (kg),2005,QL,QLD Central North,
66084,Value of land and fixed improvements ($),2005,QL,QLD Central North,7032460.0
66085,Vet fees ($),2005,QL,QLD Central North,1280.0
66086,Wages for hired labor ($),2005,QL,QLD Central North,50770.0
66087,Water charges ($),2005,QL,QLD Central North,0.0
66088,Wethers at 30 June (no.),2005,QL,QLD Central North,204.0
66089,Wheat area sown (ha),2005,QL,QLD Central North,0.0
66090,Wheat produced (t),2005,QL,QLD Central North,0.0
66091,Wheat receipts ($),2005,QL,QLD Central North,0.0
66092,Wheat sold (t),2005,QL,QLD Central North,0.0
66093,Wool cut per head (kg),2005,QL,QLD Central North,
66094,Wool produced (kg),2005,QL,QLD Central North,2435.0
66095,Wool receipts ($),2005,QL,QLD Central North,19760.0
66096,AI stud fees and herd testing ($),2005,QL,QLD Charleville - Longreach,210.0
66097,Accounting services ($),2005,QL,QLD Charleville - Longreach,6380.0
66098,Advisory services ($),2005,QL,QLD Charleville - Longreach,1950.0
66099,Age of owner manager (yrs),2005,QL,QLD Charleville - Longreach,56.0
66100,Age of spouse (yrs),2005,QL,QLD Charleville - Longreach,54.0
66101,Agistment ($),2005,QL,QLD Charleville - Longreach,20390.0
66102,Area operated at 30 June (ha),2005,QL,QLD Charleville - Longreach,19109.0
66103,Barley area sown (ha),2005,QL,QLD Charleville - Longreach,0.0
66104,Barley produced (t),2005,QL,QLD Charleville - Longreach,0.0
66105,Barley receipts ($),2005,QL,QLD Charleville - Longreach,0.0
66106,Beef bulls at 30 June (no.),2005,QL,QLD Charleville - Longreach,22.0
66107,Beef calves at 30 June (no.),2005,QL,QLD Charleville - Longreach,362.0
66108,Beef cattle purchased ($),2005,QL,QLD Charleville - Longreach,52970.0
66109,Beef cattle purchased (no.),2005,QL,QLD Charleville - Longreach,68.0
66110,Beef cattle receipts ($),2005,QL,QLD Charleville - Longreach,449850.0
66111,Beef cattle sold (no.),2005,QL,QLD Charleville - Longreach,399.0
66112,Beef cattle transferred off farm (no.),2005,QL,QLD Charleville - Longreach,2.0
66113,Beef cattle transferred onto farm (no.),2005,QL,QLD Charleville - Longreach,0.0
66114,Beef cows at 30 June (no.),2005,QL,QLD Charleville - Longreach,609.0
66115,Beef heifers at 30 June (no.),2005,QL,QLD Charleville - Longreach,128.0
66116,Beef herd at 30 June (no.),2005,QL,QLD Charleville - Longreach,1405.0
66117,Branding rate (%),2005,QL,QLD Charleville - Longreach,75.2
66118,Buildup in trading stocks ($),2005,QL,QLD Charleville - Longreach,50430.0
66119,Canola area sown (ha),2005,QL,QLD Charleville - Longreach,0.0
66120,Canola produced (t),2005,QL,QLD Charleville - Longreach,0.0
66121,Canola receipts ($),2005,QL,QLD Charleville - Longreach,0.0
66122,Capital appreciation ($),2005,QL,QLD Charleville - Longreach,467360.0
66123,Capital at 1 July ($),2005,QL,QLD Charleville - Longreach,7263940.0
66124,Change in farm debt ($),2005,QL,QLD Charleville - Longreach,105210.0
66125,Contracts - cropping ($),2005,QL,QLD Charleville - Longreach,30.0
66126,Contracts - livestock ($),2005,QL,QLD Charleville - Longreach,7220.0
66127,Cotton receipts ($),2005,QL,QLD Charleville - Longreach,0.0
66128,Crop and pasture chemicals ($),2005,QL,QLD Charleville - Longreach,340.0
66129,Dairy cattle at June 30 (no.),2005,QL,QLD Charleville - Longreach,0.0
66130,Depreciation ($),2005,QL,QLD Charleville - Longreach,49430.0
66131,Electricity ($),2005,QL,QLD Charleville - Longreach,6030.0
66132,Equity ratio at 30 June (%),2005,QL,QLD Charleville - Longreach,86.0
66133,Ewes at 30 June (no.),2005,QL,QLD Charleville - Longreach,855.0
66134,Family share of farm income ($),2005,QL,QLD Charleville - Longreach,72680.0
66135,Farm business debt at 30 June ($),2005,QL,QLD Charleville - Longreach,1068400.0
66136,Farm business equity June 30 ($),2005,QL,QLD Charleville - Longreach,6489020.0
66137,Farm business profit ($),2005,QL,QLD Charleville - Longreach,6260.0
